"filename", "language", "Markdown", "JSON", "JavaScript", "JSON with Comments", "TypeScript JSX", "TypeScript", "XML", "PostCSS", "HTML", "SCSS", "comment", "blank", "total"
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/README.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 47
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/package-lock.json", "JSON", 0, 19904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19905
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/package.json", "JSON", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/postcss.config.cjs", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/public/manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/Components/Group.tsx", "TypeScript JSX", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 13, 145
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/Components/GroupNavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/Components/Groups.tsx", "TypeScript JSX", 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 9, 14, 173
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/Components/Popup.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/Components/Transaction.tsx", "TypeScript JSX", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 1, 6, 81
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/Components/Transactions.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 3, 46
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/Components/styles/GroupBar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/Components/styles/Groups.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 2, 18
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/Model/Group.model.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/Model/Member.model.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/Model/Transaction.model.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/api/requests.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 2, 31
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 3, 20
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/reportWebVitals.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/src/setupTests.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"/home/emjay/Documents/For Test/PresentCon/groups-management/groups-management/ui/tsconfig.json", "JSON with Comments", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 19989, 14, 26, 534, 30, 1, 33, 20, 16, 41, 97, 20827
